Timestamp	Event Title	Event Date	Event Start Time	Event Location	Event End Time	Meet Time	Meet Location	Event Source	Missouri State Email Address (@live.missouristate.edu is not necessary)	Event Sponsor	Event Location (Address)	Meet Location (Address)	Event Description 	 [Row 1]
9/4/2016 14:37:13	Enactus Meeting	9/5/2016	3:00:00 PM	PSU Room 312 ( 3rd Floor )	5:00:00 PM			http://twitter.com	baker001	Enactus Missouri State University (Enactus)	1110 E Madison St, Springfield, MO			
9/4/2016 15:52:18	Ice Cream Social & Concert under the Stars	9/9/2016	5:00:00 PM	Craig Hall Tent Pad	9:30:00 PM			http://ocf.missouristate.edu/concert.htm	questions@parrot.social	Ozark's Celebration Festival	1147 E Grand St Springfield, MO 65897			
9/4/2016 16:05:56	Weekend of Crafts, Exhibits and Music	9/10/2016	10:00:00 AM		6:00:00 PM			http://ocf.missouristate.edu/crafts.htm#byDateTime	questions@parrot.social	Ozark's Celebration Festival				
9/4/2016 16:14:41	Ice Cream Social & Concert under the Stars	9/9/2016	5:00:00 PM	Craig Hall Tent Pad	10:00:00 PM			http://ocf.missouristate.edu/concert.htm	questions@parrot.social	Ozark's Celebration Festival	1147 E Grand St Springfield, MO 65897			
9/4/2016 16:17:23	Weekend of Crafts, Exhibits and Music	9/11/2016	11:00:00 AM		5:30:00 PM			http://ocf.missouristate.edu/crafts.htm	questions@parrot.social	Ozark's Celebration Festival				
9/4/2016 16:32:55	Enactus Open House Recruitment Event	9/6/2016	6:30:00 PM	PSU Ballroom East (3rd Floor)	8:30:00 PM			https://missouristate.collegiatelink.net/organization/SIFE/calendar/details/1012281	baker001	Enactus Missouri State University (Enactus)	1110 E Madison St, Springfield, MO			
9/4/2016 16:49:21	College Republicans Meeting	9/6/2016	8:00:00 PM	PSU Room 314 ( 3rd Floor )	9:00:00 PM			https://missouristate.collegiatelink.net/organization/collegerepublicans/calendar/details/964331	baker001	College Republicans (CRs)	1110 E Madison St, Springfield, MO		Join us for our first meeting of the semester!	
9/4/2016 16:52:29	College Republicans Meeting	9/13/2016	8:00:00 PM	PSU Room 314 ( 3rd Floor )	9:00:00 PM			https://missouristate.collegiatelink.net/organization/collegerepublicans/calendar/details/979816	baker001	College Republicans (CRs)	1110 E Madison St, Springfield, MO		Join us for our weekly meeting!	
9/4/2016 16:54:42	College Republicans Meeting	9/20/2016	8:00:00 PM	PSU Room 314 ( 3rd Floor )	9:00:00 PM			https://missouristate.collegiatelink.net/organization/collegerepublicans/calendar/details/979815	baker001	College Republicans (CRs)	1110 E Madison St, Springfield, MO		Join us for our weekly meeting!	
9/4/2016 16:57:36	College Republicans Meeting	9/27/2016	8:00:00 PM	PSU Room 314 ( 3rd Floor )	9:00:00 PM			https://missouristate.collegiatelink.net/organization/collegerepublicans/calendar/details/979814	baker001	College Republicans (CRs)	1110 E Madison St, Springfield, MO		Join us for our weekly meeting!	
9/5/2016 14:56:27	Coffee Shop Sound	9/6/2016	7:00:00 PM	PSU	9:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Acoustic Music by the Starbucks	
9/5/2016 14:59:36	Rajiv Surrendra	9/7/2016	7:00:00 PM	PSU	9:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		See this Mean Girls actor as he describes his life's journey.	
9/5/2016 15:02:52	Capture the Flag	9/8/2016	9:00:00 PM	South Mall	12:00:00 AM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	South Mall (Between McDonald Arena and Plaster Field); 37°11'55.1"N 93°16'48.6"W		Come play a sprawling game of capture the flag.	
